CourseDistance,FootLength,LegLength,WalkTime,WalkStrideLength,JogTime,JogStrideLength,RunTime,RunStrideLength
10.5,0.26,0.93,8.36,1.5,4.48,2.21,3.47,3
10.5,0.29,0.93,8.02,1.4,4.31,1.91,2.96,3
20,0.254,1.016,13.09,3.077,6.33,5,4.22,8
20,0.2794,1.12,13.49,2.857,6.66,4.444,4.36,6.667
6.4,0.2477,0.9271,4.89,1.422,2.64,1.829,2.15,2.133
20,0.31,1.04,12.85,1.45,6.1,2.794,3.34,3.708
20,0.24,0.95,13.95,0.83,6.51,1.18,3.57,1.67
10,0.27,0.97,6.2,1.8,3.16,2.67,2.43,2.86
10,0.255,1.02,6.06,1.82,3.71,2.86,2.52,2.86
20,0.33,0.99,13.02,1.7,5.3,2.79,3.38,3.55
9.82,0.285,0.996,8.61,1.401,2.72,2.803,1.88,3.27
20,0.31,0.95,18.74,0.8,7.95,1.18,4.16,1.82
6.4,0.2794,1.0414,3.84,1.6,2.7,1.766,1.94,2.844
10,0.223,0.825,8.33,1.25,6.38,1.42,3.36,2.22
20,0.205,0.88,14.78,1.6,6.17,2.184,4.07,3.175
20,0.33,1.14,15.92,1.5,7.7,2.17,4.16,3.25
10,0.24,0.96,7.5,1.25,5.16,1.6,2.8,2.2
20,0.305,0.93,15.6,0.8,6.34,1.43,4.1,1.54
12.275,0.257,1.024,8.98,1.75,4.22,2.728,2.87,2.455
10,0.26,1.08,6.07,1.67,2.79,2.86,1.4,3.33
20,0.23,0.98,14.31,0.82,5.65,1.3,3.94,1.67
10,0.25,1,6.25,2,4.24,2.5,3.13,2.86
10,0.28,0.92,5.08,2.22,3.45,2.5,2.66,2.5
10,0.24,1,4.89,2,2.66,2.5,1.5,4
9.82,0.265,1.01,7.36,1.635,4.04,1.784,2.56,2.803
15.4178,0.2286,0.8255,10.27,1.4684,5.5,2.2025,3.58,2.8032
10,0.26,1,6.4,1.8,3.4,3.3,2.19,2.86
12.275,0.214,0.838,8.48,1.44,5.2,1.89,3.46,2.455
10,0.26035,0.8636,10.38,1.54178,4.96,2.803236364,3.28,3.426177778
10,0.21,0.89,7.52,1.25,4.4,1.54,2.22,2.22
10,0.25,0.97,7.66,1.33,4.16,2.11,2.19,2.5
10,0.285,1.14,7.86,1.33,3.64,1.87,2.03,2.5
10,0.33,1.06,8.44,0.76,5.41,1,2.73,1.43
10,0.3,0.96,9.23,0.71,3.83,1.11,2.88,1.43
10,0.295,1.18,5.75,1.62,4.27,2,2.21,2.86
10,0.205,0.895,7.66,0.769,3.35,1.11,3.81,0.769
10,0.254,0.91,7.66,0.769,3.27,1.25,2.17,1.11
10,0.232,0.91,7.05,1.6,3.78,2.5,2.76,3.33
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
